%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1760177370182879400,10739,1760177370172681088,base_link,0.018446972593665123,-0.01497368048876524,-8.09954508440569e-05,0.0002736158668534022,0.00037807334147245457,-0.001062069930230529
1760177370432143200,10740,1760177370422854400,base_link,0.018652545288205147,-0.015286045148968697,-9.026786574395373e-05,0.0002594065866423926,0.0003544472255970911,-0.0011433477326441368
1760177370677648200,10741,1760177370670976000,base_link,0.018398959189653397,-0.015202715992927551,-2.5717974494909868e-05,0.0002582994552379502,0.0004043187992207626,-0.0011309850519912585
1760177370927297600,10742,1760177370921141632,base_link,0.01835700497031212,-0.015119250863790512,-4.360012098914012e-05,0.0002685274694748852,0.00036128903943760085,-0.001032283984679196
1760177371178361800,10743,1760177371171258112,base_link,0.018424473702907562,-0.015177641995251179,2.5668310627224855e-05,0.0002859815144236431,0.00036488299332161276,-0.0010828755635623477
1760177371431284700,10744,1760177371421433216,base_link,0.018632540479302406,-0.015377586707472801,1.9155238987877965e-05,0.00022631665380726734,0.00036267215421698475,-0.0010889472669456744
1760177371679886000,10745,1760177371673544064,base_link,0.018224550411105156,-0.01506981160491705,-2.810972546285484e-06,0.00021878089213783977,0.0003900606571938148,-0.001035547342649846
1760177371931465200,10746,1760177371923719936,base_link,0.018140951171517372,-0.015075614675879478,-1.5947083511491655e-06,0.00023386188382194922,0.00036259303633396614,-0.0010912363715536563
1760177372181878600,10747,1760177372173834624,base_link,0.018277127295732498,-0.015237430110573769,-9.999448593589477e-06,0.0002615132244484342,0.00034493918121276116,-0.001072298593243787
1760177372432291300,10748,1760177372424002560,base_link,0.01830398105084896,-0.015437492169439793,7.093166641425341e-05,0.00029237531592585795,0.00040119285996768054,-0.0010746006305249875
1760177372678907000,10749,1760177372674121088,base_link,0.018167825415730476,-0.01525058038532734,0.00012092401448171586,0.00024629198273189596,0.000394752962781648,-0.001152256565659897
1760177372928178200,10750,1760177372922296192,base_link,0.018142223358154297,-0.015275844372808933,0.00011309610272292048,0.0002731013871529818,0.00033820687434704726,-0.0010661088695759807
1760177373179298300,10751,1760177373172408832,base_link,0.018159199506044388,-0.015320910140872002,0.00010451376147102565,0.0002906751740066997,0.0004295825844000263,-0.0011308149070722166
1760177373430467900,10752,1760177373422587008,base_link,0.018407749012112617,-0.01553340908139944,4.472161162993871e-05,0.0002454599526585039,0.0003776697154802301,-0.001125030386063384
1760177373681496700,10753,1760177373674702976,base_link,0.018228773027658463,-0.015485790558159351,1.8270931832375936e-05,0.00025822669124789943,0.00035698572739578465,-0.0010462378162062926
1760177373931512100,10754,1760177373924873984,base_link,0.01821192167699337,-0.015494130551815033,3.0075942049734294e-05,0.00018720614785727906,0.0004459303485717713,-0.001015627294414399
1760177374182717300,10755,1760177374174993536,base_link,0.01821192540228367,-0.015550285577774048,5.1927952881669626e-05,0.00026129305461107354,0.0004092867744009682,-0.001044362852703599
1760177374434430700,10756,1760177374425165056,base_link,0.018397966399788857,-0.015645639970898628,8.634823461761698e-05,0.00025940359239872676,0.0003457558915409638,-0.0010555216996688676
1760177374679071300,10757,1760177374675278976,base_link,0.018267562612891197,-0.015463102608919144,0.00012474825780373067,0.00022279508407514805,0.0003991871328087941,-0.0010611046043230955
1760177374929955000,10758,1760177374923459968,base_link,0.018231775611639023,-0.015282051637768745,7.066995021887124e-05,0.0002207045860344348,0.0003819527007576356,-0.0010479819475009689
1760177375180681000,10759,1760177375173568768,base_link,0.01822265423834324,-0.015345972031354904,0.00010014083090936765,0.00030621126145119893,0.0003864127851207597,-0.0011150521087298934
1760177375431684600,10760,1760177375423742848,base_link,0.01845392771065235,-0.015425954945385456,0.0001563224068377167,0.000250751706563173,0.0003912405322844279,-0.0010641945933081822
1760177375682501000,10761,1760177375673864448,base_link,0.01827899180352688,-0.015305479988455772,0.00018859039118979126,0.0002518675932131193,0.0003616966773609826,-0.001068268885294025
1760177375933005200,10762,1760177375926029312,base_link,0.01825619675219059,-0.015175946056842804,0.0001810026151360944,0.00024857621494170536,0.000371653591151163,-0.0009722129757656685
1760177376183772800,10763,1760177376176145536,base_link,0.01844412088394165,-0.015226242132484913,0.00012693706958089024,0.00017142341949696367,0.0003523585671424948,-0.0010858150553986845
1760177376435637300,10764,1760177376426319872,base_link,0.018720755353569984,-0.015351137146353722,0.00016696724924258888,0.0002872050307247555,0.000330219407696689,-0.0010297214290931017
1760177376680529800,10765,1760177376676430976,base_link,0.018655842170119286,-0.015144254080951214,0.00020442085224203765,0.00035432813228024844,0.00031890287929417537,-0.0011082440993675589
1760177376931701800,10766,1760177376924607104,base_link,0.018480755388736725,-0.014999845996499062,0.00019226036965847015,0.00021324014794421844,0.00039879292610669846,-0.0011449756259315912
1760177377182969900,10767,1760177377175727680,base_link,0.01865026354789734,-0.01505674421787262,0.00014768281835131347,0.0002601889410706436,0.0003610057416189137,-0.0010533119421585033
1760177377435010500,10768,1760177377424901248,base_link,0.018159128725528717,-0.01452778372913599,9.227755799656734e-05,0.0002532620973551848,0.0003354028461668626,-0.0010941631079031452
1760177377679555800,10769,1760177377675014144,base_link,0.01612727716565132,-0.012895405292510986,1.0538801689108368e-05,0.0002642561549443348,0.00033254374298232836,-0.001091257464204095
1760177377930237200,10770,1760177377925192320,base_link,0.012749151326715946,-0.010168604552745819,-2.985776518471539e-05,0.00022763361382428245,0.0003594185324927098,-0.0009515865817028207
