%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1760177377673555500,1145,1760177377675014144,base_link,0,1,-35.3632622,149.1652375,603.5286373312906,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177377924099400,1146,1760177377925192320,base_link,0,1,-35.3632622,149.1652375,603.5286373312906,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177378175209700,1147,1760177378175303168,base_link,0,1,-35.3632622,149.1652375,603.5286373312906,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177378425732800,1148,1760177378425473664,base_link,0,1,-35.3632622,149.1652375,603.5286373312906,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177378676839500,1149,1760177378675593216,base_link,0,1,-35.3632622,149.1652375,603.5286373312906,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177378927803000,1150,1760177378925759104,base_link,0,1,-35.3632622,149.1652375,603.5286373312906,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177379178319800,1151,1760177379176873280,base_link,0,1,-35.3632622,149.1652375,603.5286373312906,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177379429039100,1152,1760177379427053504,base_link,0,1,-35.3632622,149.1652375,603.5286373312906,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177379674234000,1153,1760177379676162816,base_link,0,1,-35.3632622,149.1652375,603.5286373312906,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177379925241800,1154,1760177379926334848,base_link,0,1,-35.3632622,149.1652375,603.5286373312906,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177380176311700,1155,1760177380176453376,base_link,0,1,-35.3632622,149.1652375,603.5286373312906,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177380426710000,1156,1760177380426619008,base_link,0,1,-35.3632622,149.1652375,603.5286373312906,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177380677640200,1157,1760177380676740352,base_link,0,1,-35.3632622,149.1652375,603.5686373312906,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177380928488400,1158,1760177380926914944,base_link,0,1,-35.3632622,149.1652375,603.6386373312906,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177381179583200,1159,1760177381177025536,base_link,0,1,-35.3632622,149.1652375,603.8286373312906,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177381430133300,1160,1760177381428201408,base_link,0,1,-35.3632622,149.1652375,604.1186373312905,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177381675356800,1161,1760177381677315584,base_link,0,1,-35.3632621,149.1652374,604.3986373242841,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177381926416000,1162,1760177381927483776,base_link,0,1,-35.3632621,149.1652374,604.6786373242841,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177382177293700,1163,1760177382177601792,base_link,0,1,-35.3632621,149.1652374,604.9286373242841,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177382428631200,1164,1760177382427775616,base_link,0,1,-35.3632621,149.1652373,605.138637196404,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177382678916800,1165,1760177382677888768,base_link,0,1,-35.3632621,149.1652373,605.3086371964041,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177382929867200,1166,1760177382928068224,base_link,0,1,-35.3632621,149.1652373,605.438637196404,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177383181011800,1167,1760177383178180864,base_link,0,1,-35.3632621,149.1652373,605.5186371964041,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177383431562000,1168,1760177383429351616,base_link,0,1,-35.363262,149.1652373,605.5786373172775,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177383676463400,1169,1760177383678470912,base_link,0,1,-35.363262,149.1652373,605.6886373172774,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177383927747500,1170,1760177383928633984,base_link,0,1,-35.363262,149.1652373,605.8586373172775,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177384178373400,1171,1760177384178747648,base_link,0,1,-35.363262,149.1652373,606.0986373172775,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177384429024000,1172,1760177384428927872,base_link,0,1,-35.363262,149.1652373,606.3986373172775,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177384679849200,1173,1760177384679036672,base_link,0,1,-35.363262,149.1652373,606.6886373172774,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177384931478700,1174,1760177384929209216,base_link,0,1,-35.363262,149.1652373,606.9486373172774,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177385181789500,1175,1760177385179321600,base_link,0,1,-35.363262,149.1652373,607.1686373172774,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177385433071400,1176,1760177385430486464,base_link,0,1,-35.363262,149.1652372,607.3386371893973,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177385677550500,1177,1760177385680602176,base_link,0,1,-35.363262,149.1652372,607.4686371893973,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177385928379800,1178,1760177385929776256,base_link,0,1,-35.363262,149.1652372,607.5486371893974,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177386179235900,1179,1760177386179887616,base_link,0,1,-35.363262,149.1652371,607.5786370615172,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177386430210800,1180,1760177386430062208,base_link,0,1,-35.363262,149.165237,607.568636933637,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177386680966200,1181,1760177386680175616,base_link,0,1,-35.363262,149.165237,607.558636933637,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177386932031900,1182,1760177386930343808,base_link,0,1,-35.363262,149.165237,607.538636933637,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177387183050900,1183,1760177387180461056,base_link,0,1,-35.363262,149.165237,607.518636933637,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177387427852800,1184,1760177387430628736,base_link,0,1,-35.363262,149.1652371,607.5186370615172,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177387679335300,1185,1760177387681740864,base_link,0,1,-35.363262,149.1652383,607.5086385960772,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177387929765300,1186,1760177387930919040,base_link,0,1,-35.363262,149.1652413,607.5086424324597,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177388180802700,1187,1760177388181025536,base_link,0,1,-35.363262,149.165246,607.5186484427426,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177388431557100,1188,1760177388431195776,base_link,0,1,-35.363262,149.1652517,607.5186557317268,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177388682197000,1189,1760177388681315584,base_link,0,1,-35.363262,149.1652577,607.5186634042446,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177388933025000,1190,1760177388931478400,base_link,0,1,-35.363262,149.1652634,607.5186706930444,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177389184082600,1191,1760177389181593344,base_link,0,1,-35.363262,149.1652686,607.5186773423973,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177389429322500,1192,1760177389431766144,base_link,0,1,-35.363262,149.165273,607.5186829687144,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177389679955600,1193,1760177389682874944,base_link,0,1,-35.363262,149.1652765,607.5186874441557,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177389930819000,1194,1760177389932047744,base_link,0,1,-35.363262,149.1652792,607.5186908966158,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177390181859100,1195,1760177390182167808,base_link,0,1,-35.363262,149.1652811,607.5286933261126,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177390432829100,1196,1760177390432332416,base_link,0,1,-35.363262,149.1652823,607.5286948605266,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177390683245600,1197,1760177390682448128,base_link,0,1,-35.363262,149.1652831,607.528695883467,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177390934738800,1198,1760177390932621696,base_link,0,1,-35.363262,149.1652835,607.5286963949366,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177391185308700,1199,1760177391182731776,base_link,0,1,-35.363262,149.1652836,607.5286965228039,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177391430580700,1200,1760177391432906368,base_link,0,1,-35.363262,149.1652837,607.5286966506711,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177391681099400,1201,1760177391684020288,base_link,0,1,-35.363262,149.1652847,607.5286979293425,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177391932460900,1202,1760177391934187200,base_link,0,1,-35.363262,149.1652874,607.5287013817414,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177392182943900,1203,1760177392183304448,base_link,0,1,-35.363262,149.1652917,607.5287068799646,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177392433992100,1204,1760177392433472128,base_link,0,1,-35.363262,149.1652972,607.5387139125011,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177392684405000,1205,1760177392683584000,base_link,0,1,-35.363262,149.165303,607.5387213285399,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177392935727500,1206,1760177392933760896,base_link,0,1,-35.3632619,149.1653085,607.5387284818152,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177393186265600,1207,1760177393183867904,base_link,0,1,-35.3632619,149.1653136,607.5287350026629,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177393431637000,1208,1760177393434037120,base_link,0,1,-35.3632619,149.1653179,607.5287405005765,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177393682216200,1209,1760177393684156160,base_link,0,1,-35.3632619,149.1653213,607.5287448477279,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177393933196800,1210,1760177393935316672,base_link,0,1,-35.3632619,149.1653238,607.5287480441424,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177394184299600,1211,1760177394184431104,base_link,0,1,-35.3632619,149.1653256,607.5287503455501,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177394434883700,1212,1760177394434602112,base_link,0,1,-35.3632619,149.1653268,607.5287518798168,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177394685869000,1213,1760177394684710912,base_link,0,1,-35.3632619,149.1653275,607.5387527748039,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177394936849100,1214,1760177394934882688,base_link,0,1,-35.3632619,149.1653278,607.5387531583694,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177395187941600,1215,1760177395184994816,base_link,0,1,-35.3632619,149.1653279,607.5387532862246,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177395432566300,1216,1760177395435158912,base_link,0,1,-35.3632619,149.165328,607.5387534140797,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177395683463500,1217,1760177395685274880,base_link,0,1,-35.3632619,149.165329,607.5387546926289,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177395934209000,1218,1760177395936447936,base_link,0,1,-35.3632619,149.1653316,607.5287580168442,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177396185213900,1219,1760177396185558272,base_link,0,1,-35.3632619,149.1653359,607.5387635145438,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177396435868600,1220,1760177396435733120,base_link,0,1,-35.3632619,149.1653414,607.5387705464104,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177396686850300,1221,1760177396685846784,base_link,0,1,-35.3632619,149.1653471,607.538777833893,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177396937536100,1222,1760177396936013696,base_link,0,1,-35.3632619,149.1653527,607.5387849934376,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177397188371500,1223,1760177397186130944,base_link,0,1,-35.3632619,149.1653577,607.5387913858146,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177397433532700,1224,1760177397436299136,base_link,0,1,-35.3632619,149.165362,607.5287968832037,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177397684594200,1225,1760177397686411008,base_link,0,1,-35.3632619,149.1653654,607.5288012299401,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177397935842300,1226,1760177397937587904,base_link,0,1,-35.3632619,149.165368,607.5288045538935,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177398186398900,1227,1760177398187694656,base_link,0,1,-35.3632619,149.1653698,607.528806855081,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
