%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1760177370182870200,1115,1760177370172681088,map,0.014497589319944382,-0.01187159214168787,-0.006461487151682377,-0.0008021466059049742,-0.00011053031016330923,-0.7417227080419065,-0.670706171671958
1760177370432092800,1116,1760177370422854400,map,0.014759156852960587,-0.01207683701068163,-0.006466072052717209,-0.0008058975285593609,-0.00010908009353048166,-0.7417254564179508,-0.6707031280173734
1760177370677590700,1117,1760177370670976000,map,0.014463827013969421,-0.011863701976835728,-0.006449845153838396,-0.0008046739489547109,-0.00010618020976209886,-0.741727513079863,-0.6707008554981577
1760177370927240300,1118,1760177370921141632,map,0.014394842088222504,-0.011825165711343288,-0.006433702073991299,-0.0008041069508736954,-0.00010602679767128554,-0.7417324052766304,-0.6706954458864873
1760177371178310800,1119,1760177371171258112,map,0.014482377097010612,-0.011904657818377018,-0.00641541788354516,-0.0008081957339613001,-0.00010567276807717052,-0.7417363602628206,-0.6706910671218044
1760177371431235300,1120,1760177371421433216,map,0.014760322868824005,-0.012137121520936489,-0.006391742266714573,-0.0008114207046573449,-0.00010678588688181629,-0.7417369346446866,-0.670690427825773
1760177371679872500,1121,1760177371673544064,map,0.014263560995459557,-0.01174473948776722,-0.006382078863680363,-0.0008085304724704792,-0.00010516673344866143,-0.7417406852139813,-0.670686283680177
1760177371931447700,1122,1760177371923719936,map,0.014220789074897766,-0.0117301931604743,-0.006373406853526831,-0.000808595268750656,-0.00010445425595947089,-0.7417443330780041,-0.6706822493622944
1760177372181875900,1123,1760177372173834624,map,0.014345445670187473,-0.01186299603432417,-0.006370918825268745,-0.0008087707081968011,-0.00010551151680209183,-0.7417478158497954,-0.6706783971765599
1760177372432235200,1124,1760177372424002560,map,0.01445041224360466,-0.011991381645202637,-0.006356468889862299,-0.0008108437715226776,-0.00010422224588769266,-0.7417524330182845,-0.6706732884061782
1760177372678846100,1125,1760177372674121088,map,0.014248930849134922,-0.011857123114168644,-0.006322445347905159,-0.0008059502997930277,-0.00010468735356953554,-0.7417527230557874,-0.6706729734557645
1760177372928164700,1126,1760177372922296192,map,0.014309546910226345,-0.011934066191315651,-0.006296543404459953,-0.0008061101712151961,-0.00010316129348948148,-0.7417532503610499,-0.6706723903091263
1760177373179263600,1127,1760177373172408832,map,0.014421055093407631,-0.012050722725689411,-0.00627898657694459,-0.0008060258221936916,-0.00010507815660412382,-0.7417566655593374,-0.6706686129373045
1760177373430464000,1128,1760177373422587008,map,0.014655043371021748,-0.012267664074897766,-0.006277965381741524,-0.000811742432217608,-0.00010426245235034154,-0.7417592412126573,-0.6706657574971213
1760177373681496700,1129,1760177373674702976,map,0.014435448683798313,-0.012108027003705502,-0.0062718517147004604,-0.0008076222464904711,-0.0001040224527118396,-0.7417647704434984,-0.670659647104655
1760177373931506400,1130,1760177373924873984,map,0.014336218126118183,-0.01205863431096077,-0.0062720756977796555,-0.0008048000600469647,-0.00010670496281959739,-0.7417694898036911,-0.6706544303195844
1760177374182620900,1131,1760177374174993536,map,0.014409479685127735,-0.012153915129601955,-0.006263444200158119,-0.0008058669335461052,-0.00010850095753769144,-0.7417726525168047,-0.6706509306518639
1760177374434411400,1132,1760177374425165056,map,0.01461775042116642,-0.012361397966742516,-0.006252057384699583,-0.000809491841607041,-0.00011035132232799917,-0.7417757201309503,-0.6706475330378502
1760177374678966800,1133,1760177374675278976,map,0.014348520897328854,-0.012132437899708748,-0.006232133600860834,-0.0008072650027073053,-0.00011286028944990324,-0.7417803044583073,-0.670642464733267
1760177374929948700,1134,1760177374923459968,map,0.01427232101559639,-0.012047389522194862,-0.0062221563421189785,-0.0008054854676061077,-0.00011303354637134018,-0.7417849364348265,-0.6706373434986745
1760177375180671200,1135,1760177375173568768,map,0.014360902830958366,-0.012103070504963398,-0.006209964398294687,-0.0008031775597476366,-0.00011140251575704908,-0.7417871102589398,-0.6706349420877045
1760177375431678600,1136,1760177375423742848,map,0.01461085770279169,-0.012295450083911419,-0.006189319305121899,-0.0008078304774921027,-0.00011323929170449189,-0.7417873196817992,-0.6706347045494102
1760177375682493000,1137,1760177375673864448,map,0.01437413226813078,-0.01206938736140728,-0.00616950960829854,-0.0008067879785794917,-0.00011411545608881757,-0.7417893832438228,-0.6706324231481573
1760177375932950700,1138,1760177375926029312,map,0.014347468502819538,-0.012026337906718254,-0.006148276850581169,-0.0008045953371267745,-0.00011818406684163224,-0.7417930379164694,-0.6706283826065859
1760177376183732800,1139,1760177376176145536,map,0.014464173465967178,-0.012082119472324848,-0.0061331684701144695,-0.0008081414124039942,-0.00011988580346018973,-0.7417962153498977,-0.6706248634127874
1760177376435625500,1140,1760177376426319872,map,0.014743886888027191,-0.01226540096104145,-0.00612183753401041,-0.0008146750941679552,-0.00011950488730905039,-0.7417991854895384,-0.6706215702094069
1760177376680470500,1141,1760177376676430976,map,0.014523877762258053,-0.012021215632557869,-0.006106201559305191,-0.000812936154150678,-0.00011949264965873535,-0.7418008544180746,-0.6706197262539555
1760177376931649600,1142,1760177376924607104,map,0.014268907718360424,-0.011761831119656563,-0.006092140916734934,-0.000810210090082632,-0.00012061131994051051,-0.7418034750952422,-0.6706168304994603
1760177377182928800,1143,1760177377175727680,map,0.014464901760220528,-0.011878597550094128,-0.006084307096898556,-0.0008099960889054161,-0.00012339688050729913,-0.7418045215425026,-0.6706156727207054
