%time,field.data
1760177435957116000,4.008
1760177436208470600,4.008
1760177436458740900,4.009
1760177436709883300,4.009
1760177436960498900,4.009
1760177437205908500,4.01
1760177437457046300,4.01
1760177437707821900,4.009
1760177437958849400,4.008
1760177438209289200,4.009
1760177438460082400,4.012
1760177438711047300,4.013
1760177438961192800,4.012
1760177439206971800,4.011
1760177439457437400,4.009
1760177439708543000,4.008
1760177439959033200,4.008
1760177440210327500,4.008
1760177440460765800,4.009
1760177440712739200,4.009
1760177440962824900,4.009
1760177441207607900,4.01
1760177441458700200,4.01
1760177441709948600,4.009
1760177441960146900,4.008
1760177442211486300,4.01
1760177442462357300,4.012
1760177442713766700,4.013
1760177442963599500,4.012
1760177443209003800,4.011
1760177443459793700,4.01
1760177443710382400,4.009
1760177443961479300,4.008
1760177444212424000,4.009
1760177444463410600,4.009
1760177444714252000,4.009
1760177444964773000,4.01
1760177445209971500,4.01
1760177445460836400,4.01
1760177445711841600,4.009
1760177445962519200,4.008
1760177446214113900,4.01
1760177446464153900,4.012
1760177446715920900,4.013
1760177446966064300,4.012
1760177447211042300,4.011
1760177447461891900,4.009
1760177447713408600,4.008
1760177447963563200,4.008
1760177448215258300,4.008
1760177448465284700,4.009
1760177448717335000,4.009
1760177448966747300,4.009
1760177449212784000,4.01
1760177449463055500,4.01
1760177449714869500,4.009
1760177449964466800,4.008
1760177450215812300,4.009
1760177450466312800,4.012
1760177450717868700,4.012
1760177450968430900,4.012
1760177451214224500,4.011
1760177451464310900,4.009
1760177451715957300,4.008
1760177451965901600,4.008
1760177452217875500,4.008
1760177452468041800,4.009
1760177452718330700,4.009
1760177452969305200,4.009
1760177453215883800,4.009
1760177453465424300,4.01
1760177453717096300,4.009
1760177453966952300,4.008
1760177454217685400,4.009
1760177454468773400,4.012
1760177454719621900,4.012
1760177454970688100,4.012
1760177455216383600,4.011
1760177455466643600,4.009
1760177455718035300,4.008
1760177455968003300,4.008
1760177456219572500,4.008
1760177456469812500,4.009
1760177456720868900,4.009
1760177456972111900,4.009
1760177457217433300,4.01
1760177457467831900,4.01
1760177457718220000,4.009
1760177457968981800,4.008
1760177458219847400,4.01
1760177458471263300,4.012
1760177458721736700,4.013
1760177458972599100,4.012
1760177459217665600,4.011
1760177459468673000,4.01
1760177459719574300,4.009
1760177459970326100,4.008
1760177460220919100,4.009
1760177460472121800,4.009
1760177460722598400,4.009
1760177460973877200,4.009
1760177461218829600,4.01
1760177461470122200,4.01
1760177461720970400,4.009
1760177461971837600,4.008
1760177462222426900,4.01
1760177462473549700,4.012
1760177462724043400,4.013
1760177462975206100,4.012
1760177463220163000,4.011
1760177463471159400,4.009
1760177463721990300,4.008
1760177463972648700,4.008
1760177464223656000,4.008
1760177464474387100,4.009
1760177464724965400,4.009
1760177464976247700,4.009
1760177465221369400,4.01
1760177465472348100,4.01
1760177465723019500,4.009
1760177465973692600,4.009
1760177466224774700,4.01
1760177466475467300,4.012
1760177466726492500,4.013
1760177466977224500,4.012
1760177467222539000,4.011
1760177467473561800,4.009
1760177467724943300,4.008
1760177467975262700,4.008
1760177468226022300,4.009
1760177468476892600,4.009
1760177468727307500,4.009
1760177468978581800,4.009
1760177469223406500,4.01
1760177469474612600,4.01
1760177469725445500,4.009
1760177469976492300,4.008
1760177470227029300,4.01
1760177470478191600,4.012
