%time,field.header.seq,field.header.stamp,field.header.frame_id,field.voltage,field.temperature,field.current,field.charge,field.capacity,field.design_capacity,field.percentage,field.power_supply_status,field.power_supply_health,field.power_supply_technology,field.present,field.cell_voltage0,field.location,field.serial_number
1758482337672750000,4629,1758482337672466000,,12.600000381469727,0.0,-0.0,nan,nan,nan,1.0,2,0,0,1,12.600000381469727,id0,
1758482337922473800,4630,1758482337922202800,,12.600000381469727,0.0,-0.0,nan,nan,nan,1.0,2,0,0,1,12.600000381469727,id0,
1758482338176262600,4631,1758482338176043700,,12.600000381469727,0.0,-0.0,nan,nan,nan,1.0,2,0,0,1,12.600000381469727,id0,
1758482338425984500,4632,1758482338425747200,,12.600000381469727,0.0,-0.0,nan,nan,nan,1.0,2,0,0,1,12.600000381469727,id0,
1758482338675504400,4633,1758482338675279700,,12.600000381469727,0.0,-3.369999885559082,nan,nan,nan,0.9899999499320984,2,0,0,1,12.600000381469727,id0,
1758482338926580600,4634,1758482338926306000,,12.600000381469727,0.0,-15.049999237060547,nan,nan,nan,0.9899999499320984,2,0,0,1,12.600000381469727,id0,
1758482339171459100,4635,1758482339171271600,,12.600000381469727,0.0,-22.8799991607666,nan,nan,nan,0.9899999499320984,2,0,0,1,12.600000381469727,id0,
1758482339422159400,4636,1758482339421945900,,12.600000381469727,0.0,-31.06999969482422,nan,nan,nan,0.9899999499320984,2,0,0,1,12.600000381469727,id0,
1758482339673496700,4637,1758482339673269800,,12.600000381469727,0.0,-34.040000915527344,nan,nan,nan,0.9899999499320984,2,0,0,1,12.600000381469727,id0,
1758482339924602100,4638,1758482339924402200,,12.600000381469727,0.0,-39.95000076293945,nan,nan,nan,0.9899999499320984,2,0,0,1,12.600000381469727,id0,
1758482340175199900,4639,1758482340174977000,,12.600000381469727,0.0,-22.739999771118164,nan,nan,nan,0.9899999499320984,2,0,0,1,12.600000381469727,id0,
1758482340425564700,4640,1758482340425360200,,12.600000381469727,0.0,-30.059999465942383,nan,nan,nan,0.9899999499320984,2,0,0,1,12.600000381469727,id0,
1758482340677202700,4641,1758482340676965200,,12.600000381469727,0.0,-29.26999855041504,nan,nan,nan,0.9899999499320984,2,0,0,1,12.600000381469727,id0,
